testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1597050774812:52e64e72-251d-440a-bc7c-b94da4805c4a,1597050775109:24e1d74e-9dea-4a01-a17d-5c5e6993b46b,0,true,EmptyObject,EmptyObject,CTOR,none
1597050774812:52e64e72-251d-440a-bc7c-b94da4805c4a,1597050775109:24e1d74e-9dea-4a01-a17d-5c5e6993b46b,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050774812:52e64e72-251d-440a-bc7c-b94da4805c4a,1597050775109:24e1d74e-9dea-4a01-a17d-5c5e6993b46b,2,true,EmptyObject,class java.lang.String,pop,none
1597050775113:575b92b4-c466-4342-82ff-55402013758c,1597050775113:74033fa3-efda-474e-858f-22f36aa3a135,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775113:575b92b4-c466-4342-82ff-55402013758c,1597050775113:74033fa3-efda-474e-858f-22f36aa3a135,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050775113:575b92b4-c466-4342-82ff-55402013758c,1597050775113:74033fa3-efda-474e-858f-22f36aa3a135,2,true,EmptyObject,class java.lang.String,pop,none
1597050775114:3e8d7acf-3614-47e9-8b58-880ada3ebbe6,1597050775114:05b43585-a31a-4ea1-b703-2a25ebf30be4,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775114:3e8d7acf-3614-47e9-8b58-880ada3ebbe6,1597050775114:05b43585-a31a-4ea1-b703-2a25ebf30be4,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050775114:3e8d7acf-3614-47e9-8b58-880ada3ebbe6,1597050775114:05b43585-a31a-4ea1-b703-2a25ebf30be4,2,true,EmptyObject,class java.lang.String,pop,none
1597050775114:30a4ed5a-692a-43f2-9ab3-8372320c8cf1,1597050775114:92d97192-2483-484f-805b-f20db412d262,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775114:30a4ed5a-692a-43f2-9ab3-8372320c8cf1,1597050775114:92d97192-2483-484f-805b-f20db412d262,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050775114:30a4ed5a-692a-43f2-9ab3-8372320c8cf1,1597050775114:92d97192-2483-484f-805b-f20db412d262,2,true,EmptyObject,class java.lang.String,pop,none
1597050775114:13605bc6-bfd0-491c-8b1e-95fc20f2f5b1,1597050775114:608ad649-4f06-4904-bd13-ff73000475f9,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775114:13605bc6-bfd0-491c-8b1e-95fc20f2f5b1,1597050775114:608ad649-4f06-4904-bd13-ff73000475f9,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050775114:13605bc6-bfd0-491c-8b1e-95fc20f2f5b1,1597050775114:608ad649-4f06-4904-bd13-ff73000475f9,2,true,EmptyObject,class java.lang.String,pop,none
1597050775115:783bfa5c-f203-4eee-9fb6-56c56658caa5,1597050775115:1c474461-9a89-4098-9b04-268c0b150473,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775115:783bfa5c-f203-4eee-9fb6-56c56658caa5,1597050775115:1c474461-9a89-4098-9b04-268c0b150473,0,true,EmptyObject,EmptyObject,clear,none
1597050775115:783bfa5c-f203-4eee-9fb6-56c56658caa5,1597050775115:1c474461-9a89-4098-9b04-268c0b150473,0,true,EmptyObject,EmptyObject,pop,none
1597050775115:8029d759-b0ff-4d5c-8ab6-f6acb2c3459e,1597050775115:20b26787-3fef-44d6-972a-814e4af94243,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775115:8029d759-b0ff-4d5c-8ab6-f6acb2c3459e,1597050775115:20b26787-3fef-44d6-972a-814e4af94243,0,true,EmptyObject,EmptyObject,clear,none
1597050775115:8029d759-b0ff-4d5c-8ab6-f6acb2c3459e,1597050775115:20b26787-3fef-44d6-972a-814e4af94243,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050775115:ccc22abf-775a-49d4-a01e-2460a7672ea7,1597050775115:3891618f-ce0c-4fd5-b588-ae506b8ecf42,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775115:ccc22abf-775a-49d4-a01e-2460a7672ea7,1597050775115:3891618f-ce0c-4fd5-b588-ae506b8ecf42,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050775115:ccc22abf-775a-49d4-a01e-2460a7672ea7,1597050775115:3891618f-ce0c-4fd5-b588-ae506b8ecf42,2,true,EmptyObject,class java.lang.String,pop,none
1597050775115:bb3796aa-8cda-4bc0-a20a-cc38d8e552b0,1597050775115:7c4fc0b3-1ec3-45cc-b142-b1215ab55c11,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775115:bb3796aa-8cda-4bc0-a20a-cc38d8e552b0,1597050775115:7c4fc0b3-1ec3-45cc-b142-b1215ab55c11,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050775116:cfc8bcfa-e989-464c-9fc9-f8e0c71315df,1597050775116:1a9fc1f6-6fef-4f35-9ac0-4458045d0a59,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775116:cfc8bcfa-e989-464c-9fc9-f8e0c71315df,1597050775116:1a9fc1f6-6fef-4f35-9ac0-4458045d0a59,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050775116:cfc8bcfa-e989-464c-9fc9-f8e0c71315df,1597050775116:1a9fc1f6-6fef-4f35-9ac0-4458045d0a59,2,true,EmptyObject,class java.lang.String,pop,none
1597050775116:73161485-5ac2-4d21-8e23-d9506d22479c,1597050775116:335291db-565c-4824-825e-d39a403ead37,0,true,EmptyObject,EmptyObject,CTOR,none
1597050775116:73161485-5ac2-4d21-8e23-d9506d22479c,1597050775116:335291db-565c-4824-825e-d39a403ead37,0,true,EmptyObject,EmptyObject,clear,none
1597050775116:73161485-5ac2-4d21-8e23-d9506d22479c,1597050775116:335291db-565c-4824-825e-d39a403ead37,0,true,EmptyObject,EmptyObject,clear,none
1597050775116:73161485-5ac2-4d21-8e23-d9506d22479c,1597050775116:335291db-565c-4824-825e-d39a403ead37,0,true,EmptyObject,EmptyObject,pop,none
