,index,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:ef088c28-f17c-43a0-af9f-ac96f806d3ac,0,,3,"['9', '13', '16']",0,
1,1,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:ef088c28-f17c-43a0-af9f-ac96f806d3ac,0,,3,"['9', '13', '16']",0,
2,2,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:d96c1c8c-969a-4299-9785-e22986fb5119,0,,3,"['9', '13', '16']",0,
3,5,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60,0,,1,['13'],0,
4,6,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60,0,,1,['13'],0,
5,7,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60,0,,1,['13'],0,
6,8,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60,0,,0,,0,
7,9,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60,0,,0,,0,
8,10,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:9df7b216-89d7-4ebf-92af-4e6ebd182f60,0,,1,['13'],0,
9,11,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597059728734:5c3e0abe-484c-4175-b170-3e294f546b5c,1597059728734:6636449c-352e-446c-b615-b8d1248af253,0,,1,['13'],0,
