,Unnamed: 0,size,isEmpty,peek_obj_type,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:9a7010e9-46cf-4213-b929-cade0592455f,0,,1,['1'],0,
1,2,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:9a7010e9-46cf-4213-b929-cade0592455f,0,,1,['2'],0,
2,3,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:9a7010e9-46cf-4213-b929-cade0592455f,0,,1,['0'],0,
3,5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""",No,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:82f00c27-6e40-4549-b18f-8eab99d6d16c,0,,0,,0,
4,6,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:82f00c27-6e40-4549-b18f-8eab99d6d16c,0,,1,['1'],0,
5,13,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",No,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:5a43a388-e7db-4172-9941-3c8b2890d9bc,0,,1,['1'],0,
6,14,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:5a43a388-e7db-4172-9941-3c8b2890d9bc,0,,1,['2'],0,
7,23,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:2a5b1798-dde6-454b-bf38-fd068def5bc7,0,,1,['0'],0,
8,29,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:2a5b1798-dde6-454b-bf38-fd068def5bc7,0,,1,['1'],0,
9,58,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597044274454:5c0026a7-ec49-4525-9cb7-34b731bb9574,1597044274454:6aab9267-7da0-448f-9fef-9cb160e8174f,0,,0,,0,
10,59,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597044274454:5c0026a7-ec49-4525-9cb7-34b731bb9574,1597044274454:6aab9267-7da0-448f-9fef-9cb160e8174f,0,,0,,0,
11,77,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",No,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:e8a1276f-68cd-4580-bc74-f9e7db5d44b7,0,,1,['1'],0,
12,90,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",No,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:9d4dcb56-ab60-4230-8df8-4cd98d3b6949,0,,1,['1'],0,
13,91,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:9d4dcb56-ab60-4230-8df8-4cd98d3b6949,0,,1,['2'],0,
14,96,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:906ab1c0-dae7-49f6-8e82-1eaef1f2fdff,0,,0,,0,
15,104,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:5c1f63eb-96d7-4c1e-aafe-5292dbec39a1,0,,1,['2'],0,
16,105,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:5c1f63eb-96d7-4c1e-aafe-5292dbec39a1,0,,1,['0'],0,
17,112,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",No,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:478b4e2f-d31e-41f3-8ba8-405163c63fe1,0,,1,['1'],0,
18,113,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:478b4e2f-d31e-41f3-8ba8-405163c63fe1,0,,1,['2'],0,
19,315,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597044274452:38df6050-20bb-4b6b-9a48-f4bb4227bc8e,1597044274452:30961749-9a71-40fa-b41b-631d516c41c7,0,,0,,0,
20,371,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597044274451:f38f31dc-8862-4bad-9eb4-fa9179a7f4a7,1597044274451:7d9f9402-31dc-431d-949e-5bac8c792167,0,,0,,0,
21,399,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1597044274451:3be66e4d-792e-4a8d-aabe-53c3f44819ba,1597044274451:3618b804-66e1-44d9-9ecd-04bc2084f5d5,0,,1,['0'],0,
22,564,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""",No,1597044274449:9f04d197-ab7a-481d-a68d-230fb9f01272,1597044274450:fb187a41-af49-41e4-9d1d-5d101d637467,0,,1,['1'],0,
23,659,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:908ab386-d2cc-4a71-a761-788854014c48,0,,1,['2'],0,
24,681,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:05a3a965-2eb0-4bbb-90cf-ca32c04850c1,0,,0,,0,
25,819,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e,0,,1,['0'],0,
26,820,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e,0,,0,,0,
27,821,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e,0,,0,,0,
28,1223,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:9a5c8973-67c3-464c-8082-066da170bf64,0,,1,['2'],0,
29,1247,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274,0,,1,['0'],0,
30,1248,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274,0,,0,,0,
31,1680,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597044274439:b941ad9f-8f0f-4ee2-9475-07133bb7caab,1597044274439:383fd359-ce07-453a-9ccd-7abf9177716e,0,,0,,0,
32,1681,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597044274439:b941ad9f-8f0f-4ee2-9475-07133bb7caab,1597044274439:383fd359-ce07-453a-9ccd-7abf9177716e,0,,0,,0,
