,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:f339ef2e-603f-41a1-900f-b3af61eecbb8,0,,0,,0,
1,2,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:f339ef2e-603f-41a1-900f-b3af61eecbb8,0,,2,"['1', '2']",0,
2,4,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f,0,,2,"['1', '2']",0,
3,5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f,0,,0,,0,
4,7,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f,0,,2,"['1', '2']",0,
5,8,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f,0,,2,"['0', '2']",0,
6,9,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f,0,,1,['1'],0,
7,10,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f,0,,2,"['0', '2']",0,
8,13,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:d6d28cbf-262f-47cc-b197-8d693eb46661,0,,2,"['0', '2']",0,
9,14,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:d6d28cbf-262f-47cc-b197-8d693eb46661,0,,2,"['2', '3']",0,
10,26,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287,0,,2,"['2', '3']",0,
11,27,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287,0,,1,['0'],0,
12,32,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287,0,,2,"['1', '2']",0,
13,58,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:25404957-355e-4b95-ac50-ea45aed25417,0,,1,['2'],0,
14,59,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:25404957-355e-4b95-ac50-ea45aed25417,0,,1,['2'],0,
15,87,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",No,1596542058050:e445d707-bebb-4286-b04c-49487caa0e15,1596542058050:c8afe3e6-5846-4e15-b50e-eb513dbacb4c,0,,1,['1'],0,
16,88,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",No,1596542058050:e445d707-bebb-4286-b04c-49487caa0e15,1596542058050:c8afe3e6-5846-4e15-b50e-eb513dbacb4c,0,,2,"['0', '2']",0,
17,99,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",No,1596542058050:e445d707-bebb-4286-b04c-49487caa0e15,1596542058050:850d13be-06fa-4aaf-8a92-5f2d2be2ec8a,0,,2,"['1', '2']",0,
18,128,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058051:eec3d92e-ed23-4a90-a960-31dbc8888583,0,,1,['2'],0,
19,136,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058051:68639c23-830b-414c-a16a-9d92fb374c85,0,,2,"['0', '2']",0,
20,156,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058050:cd281d96-7483-4923-aca2-80026f026fb6,0,,2,"['1', '2']",0,
21,161,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058050:77f69fff-a559-4f86-9335-50a2267006fd,0,,2,"['1', '2']",0,
22,170,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058050:1fe6835e-cfcb-4ce6-b1f1-2ec233b4d3f5,0,,2,"['0', '2']",0,
