,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:f584fe80-a58f-409b-98fb-a02eb4ddeffe,0,,2,"['0', '2']",0,
1,2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""",No,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:f584fe80-a58f-409b-98fb-a02eb4ddeffe,0,,0,,0,
2,3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",No,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:f584fe80-a58f-409b-98fb-a02eb4ddeffe,0,,0,,0,
3,4,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:f584fe80-a58f-409b-98fb-a02eb4ddeffe,0,,2,"['0', '2']",0,
4,7,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:e3382bab-ed5a-476d-a17e-8d7a56ab123e,0,,2,"['2', '3']",0,
5,10,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:ce8cb82a-13e5-4f6d-9c3b-19e13cc8b05b,0,,2,"['2', '3']",0,
6,11,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:ce8cb82a-13e5-4f6d-9c3b-19e13cc8b05b,0,,1,['2'],0,
7,12,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:ce8cb82a-13e5-4f6d-9c3b-19e13cc8b05b,0,,1,['2'],0,
8,16,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:b454df68-4cd0-4d01-ab63-43e1b4723331,0,,2,"['0', '2']",0,
9,21,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:ab044004-c641-490e-a48e-30062441ea62,0,,2,"['0', '2']",0,
10,25,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a63f2477-cc35-484f-ad36-b406f79618a9,0,,2,"['0', '2']",0,
11,30,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a63f2477-cc35-484f-ad36-b406f79618a9,0,,2,"['2', '3']",0,
12,31,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a63f2477-cc35-484f-ad36-b406f79618a9,0,,1,['2'],0,
13,32,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a63f2477-cc35-484f-ad36-b406f79618a9,0,,1,['3'],0,
14,39,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a0f419ac-71a7-4a0f-89f0-ef9796dc8db2,0,,2,"['0', '2']",0,
15,40,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a0f419ac-71a7-4a0f-89f0-ef9796dc8db2,0,,2,"['2', '3']",0,
16,41,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a0f419ac-71a7-4a0f-89f0-ef9796dc8db2,0,,1,['0'],0,
17,42,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a0f419ac-71a7-4a0f-89f0-ef9796dc8db2,0,,2,"['2', '3']",0,
18,46,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:6ee614ab-a692-4ff8-9349-fe8ff572982b,0,,2,"['0', '2']",0,
19,78,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",Yes,1597049292488:a613c260-0146-4c2e-ba48-37d4a0473c17,1597049292488:39feb972-859e-4053-9b20-00c97134baf5,0,,1,['3'],0,
20,112,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597049292488:46f84660-d5bd-4ddd-8de4-0326519adb62,1597049292488:5a2d5543-5a10-45e9-b034-e9bc39eb103b,0,,1,['2'],0,
21,113,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597049292488:46f84660-d5bd-4ddd-8de4-0326519adb62,1597049292488:5a2d5543-5a10-45e9-b034-e9bc39eb103b,0,,1,['2'],0,
22,149,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597049292487:c9d9ac21-cc97-4883-b8cb-907e47abe7c1,1597049292488:a3605f1a-4dd9-4fa9-9fe2-eedf8c5b87e2,0,,1,['0'],0,
23,150,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes,1597049292487:c9d9ac21-cc97-4883-b8cb-907e47abe7c1,1597049292488:a3605f1a-4dd9-4fa9-9fe2-eedf8c5b87e2,0,,2,"['2', '3']",0,
24,199,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597049292487:b33f2d84-cc26-4e78-88eb-d5564d2c691a,1597049292487:703eef9a-fd8a-4735-8a73-ed69a0704380,0,,1,['2'],0,
25,282,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""",Yes,1597049292486:cba057a6-33d4-4165-8c4a-7fbad4aa8525,1597049292486:f26202e1-dbac-4ac4-ad29-052b46010d29,0,,1,['2'],0,
26,283,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597049292486:cba057a6-33d4-4165-8c4a-7fbad4aa8525,1597049292486:f26202e1-dbac-4ac4-ad29-052b46010d29,0,,1,['2'],0,
27,284,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597049292486:cba057a6-33d4-4165-8c4a-7fbad4aa8525,1597049292486:f26202e1-dbac-4ac4-ad29-052b46010d29,0,,0,,0,
28,400,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597049292486:4d6f8489-00ce-4a01-bce0-a259fa476b1c,1597049292486:82b558c0-32ef-44c8-9ad3-4b5d07ecccf3,0,,2,"['2', '3']",0,
29,550,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597049292484:74447e8e-f13b-4a36-8806-df116a1e4e6e,1597049292484:1dd7c923-0075-4576-9c14-bc9e187b33e2,0,,1,['0'],0,
30,567,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","calledMethod == ""push""",Yes,1597049292484:4b243a92-1c34-46db-8b1f-ea9595209072,1597049292485:7b541b49-8c8c-40b0-9e7d-9ed43d9d832a,0,,2,"['0', '2']",0,
31,606,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597049292484:4b243a92-1c34-46db-8b1f-ea9595209072,1597049292484:3a949be1-5e87-49b7-bc9b-6c4acb03b097,0,,1,['3'],0,
32,609,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","calledMethod == ""push""",Yes,1597049292484:4b243a92-1c34-46db-8b1f-ea9595209072,1597049292484:3a949be1-5e87-49b7-bc9b-6c4acb03b097,0,,1,['2'],0,
33,691,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""",Yes,1597049292483:6afc64bb-5e19-4029-8725-fd2b9250a533,1597049292483:52059f58-2793-4ddd-ab19-b1e7e0b21408,0,,1,['0'],0,
34,742,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597049292482:c5c5e41f-dfaf-4d49-a78e-48190f832d68,1597049292482:1c36e319-d9fa-4d1f-9da4-d707f5930b76,0,,1,['2'],0,
35,744,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""pop""",Yes,1597049292482:c5c5e41f-dfaf-4d49-a78e-48190f832d68,1597049292482:1c36e319-d9fa-4d1f-9da4-d707f5930b76,0,,0,,0,
36,745,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597049292482:c5c5e41f-dfaf-4d49-a78e-48190f832d68,1597049292482:1c36e319-d9fa-4d1f-9da4-d707f5930b76,0,,1,['3'],0,
37,768,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597049292482:9415c590-d836-463b-bb2a-e18fd0a41689,1597049292482:bdf8d9ae-0958-4320-907d-55b836c0517b,0,,1,['2'],0,
38,780,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597049292482:9415c590-d836-463b-bb2a-e18fd0a41689,1597049292482:7a97a0a0-1e3d-4926-8705-fd3bf10a8797,0,,2,"['2', '3']",0,
39,781,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597049292482:9415c590-d836-463b-bb2a-e18fd0a41689,1597049292482:7a97a0a0-1e3d-4926-8705-fd3bf10a8797,0,,1,['2'],0,
40,797,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597049292482:9415c590-d836-463b-bb2a-e18fd0a41689,1597049292482:5e55a88e-8df3-4f86-a128-5e7ecefc8ad1,0,,2,"['2', '3']",0,
41,865,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597049292481:56914a9b-a43d-46d8-ab0b-916837311440,1597049292481:8b77dc8b-d185-4828-b628-782c4e138664,0,,1,['2'],0,
42,866,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",Yes,1597049292481:56914a9b-a43d-46d8-ab0b-916837311440,1597049292481:8b77dc8b-d185-4828-b628-782c4e138664,0,,0,,0,
43,1028,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597049292480:8551a579-3edd-4cac-b958-2116054f4136,1597049292480:c3942241-4595-42f6-af91-e140aecf9012,0,,2,"['2', '3']",0,
44,1168,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597049292478:427e9b07-a962-4b23-a20a-30630c2dd850,1597049292478:789c6659-bac4-455f-8e9e-4a9a07b26db1,0,,1,['2'],0,
45,1602,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""",Yes,1597049292475:3fbe4a8c-3e09-4c5f-a2fa-f2f07b269b70,1597049292475:a3dd4b57-ce73-48c4-b72d-56d69debd5d6,0,,1,['2'],0,
46,1604,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597049292475:3fbe4a8c-3e09-4c5f-a2fa-f2f07b269b70,1597049292475:a3dd4b57-ce73-48c4-b72d-56d69debd5d6,0,,1,['2'],0,
47,1999,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",Yes,1597049292472:0d529e6b-16c5-4137-ac95-7013cd191e19,1597049292472:254ca8df-decd-42ac-a67d-a328aabff3dc,0,,1,['3'],0,
48,2023,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597049292471:f02d832e-a78a-4815-a6c0-d89469f75f04,1597049292471:a8f2ffbf-bf7d-44dd-9f5d-6d4882216670,0,,1,['0'],0,
49,2163,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",Yes,1597049292470:34e0f399-232f-4c96-9882-b70b4b0f543e,1597049292470:dc100790-c0bf-4281-9390-35cbc7b2a24e,0,,1,['0'],0,
50,2223,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597049292470:20e1182f-2034-4966-a2e4-b5cdf577588d,1597049292470:c5d2eb69-29ca-44d1-925a-c55b104db96f,0,,0,,0,
51,4166,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""",Yes,1597049292455:1a0daf5f-59ac-4874-8818-e9128be3261e,1597049292455:4758c565-e238-4a36-aef6-fad21c6f480d,0,,2,"['0', '2']",0,
52,4890,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""",Yes,1597049292449:96d5340c-f1f6-40b0-ab35-d8f4430d351c,1597049292449:2c855a60-0bbd-4c84-b4e4-080278b56f39,0,,1,['3'],0,
53,4952,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""",Yes,1597049292449:4e749ebd-de5a-4cba-bea2-908df17ae0ac,1597049292449:ca904b64-24a5-414b-98bb-0f4519c2ca51,0,,1,['2'],0,
54,4953,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597049292449:4e749ebd-de5a-4cba-bea2-908df17ae0ac,1597049292449:ca904b64-24a5-414b-98bb-0f4519c2ca51,0,,0,,0,
55,5270,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",Yes,1597049292446:eb181f60-1b92-4916-9fc7-6c25905b68a7,1597049292446:124e5ffe-bddf-45b6-93ac-95cda7038079,0,,1,['3'],0,
56,5554,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""",Yes,1597049292444:89105f12-0eeb-4bd7-b17c-5368f52dc6f4,1597049292444:d9db24e4-a4b0-44ed-b350-72ab9d394e49,0,,2,"['0', '2']",0,
57,5556,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""pop""",Yes,1597049292444:89105f12-0eeb-4bd7-b17c-5368f52dc6f4,1597049292444:d9db24e4-a4b0-44ed-b350-72ab9d394e49,0,,1,['0'],0,
58,6121,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""",Yes,1597049292439:f86a56d1-8134-4a07-a772-9a6c3bc287ac,1597049292439:aabc0fd6-f72c-42db-9061-df2627dedd17,0,,1,['0'],0,
59,7575,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""",Yes,1597049292428:24475b2c-8d21-4b53-b36d-1ca0934df7c2,1597049292428:eb85124d-1eea-40c2-abeb-161402201e2a,0,,0,,0,
60,7912,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",Yes,1597049292425:d580c22d-a21a-4b23-b500-0ba8d248b4c5,1597049292425:a1a08115-c734-452f-abdb-9aefd899f3ff,0,,0,,0,
61,8160,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597049292423:bf62cec4-bdb8-4cf1-b281-b1d57c52c628,1597049292423:dfc41ca2-62ae-4105-8298-5e4032d2b66b,0,,1,['2'],0,
62,8161,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""",Yes,1597049292423:bf62cec4-bdb8-4cf1-b281-b1d57c52c628,1597049292423:dfc41ca2-62ae-4105-8298-5e4032d2b66b,0,,0,,0,
63,8411,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","calledMethod == ""push""",Yes,1597049292421:b4491eb6-fcc3-40a4-bd51-449bb8b57677,1597049292421:a8e9897d-4991-4279-bfbb-7d58956dbbc5,0,,1,['2'],0,
64,11074,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""",Yes,1597049292399:979449b2-8634-4f91-8ad1-61ea7df11c5b,1597049292399:bf74e34a-33aa-49d6-b621-b67ae9fb0f4f,0,,2,"['0', '2']",0,
65,11527,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597049292396:10a59412-922d-43d9-8450-ef0be9f5f79c,1597049292396:de0eb6b7-6535-49cd-80fe-504976ecba53,0,,1,['2'],0,
66,11528,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""",Yes,1597049292396:10a59412-922d-43d9-8450-ef0be9f5f79c,1597049292396:de0eb6b7-6535-49cd-80fe-504976ecba53,0,,0,,0,
67,11890,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",Yes,1597049292393:734bc4f0-1115-4c7d-932c-035f397bd8fd,1597049292393:9dbdcf8a-2b42-4bc0-ba34-1b608f2ffa26,0,,1,['2'],0,
68,17239,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""",Yes,1597049292346:cf5d554c-b8c1-45f0-bf0f-29a3d6331a4a,1597049292346:e9f476db-9b89-4f9d-ac8b-bdda38c15689,0,,1,['2'],0,
69,19060,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""",Yes,1597049292331:aed99903-67b5-40d2-a2cb-b4860c1d693e,1597049292331:03cbf3b4-f0d8-4f1a-aba4-6bd9d140a167,0,,0,,0,
70,24387,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""",Yes,1597049292284:cf5ed28c-c7d4-450f-af6c-6b578bf3ea22,1597049292284:1366dc60-0bed-42eb-835c-ece0f255746d,0,,1,['0'],0,
71,28143,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""pop""",Yes,1597049292250:b89242f6-9707-43f2-aaa6-f872a5e81284,1597049292250:a3fc3b47-8b59-45c7-ac34-5132402dea35,0,,0,,0,
72,29113,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""",Yes,1597049292241:ecc4995d-1c20-491c-9bec-5d5f55d60fe9,1597049292241:c22c7c7d-f95f-4ce7-a632-ed804d04ffa1,0,,1,['2'],0,
73,29735,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""",Yes,1597049292236:82e79bae-a67c-4285-91f4-190a1526b817,1597049292236:df4d64a7-e24b-415f-a7b6-7f1ee5eae59c,0,,1,['2'],0,
74,33387,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","calledMethod == ""push""",Yes,1597049292200:91a90ca8-1d07-4762-96a5-4abda288555c,1597049292200:19813ed7-6706-4a31-b6b0-43c898c41c46,0,,2,"['0', '2']",0,
75,35345,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""pop""",Yes,1597049292179:c84ce6dc-54e9-450b-8947-cff269f021fb,1597049292179:f153f3b2-02a2-4811-b416-5e7fba159ab4,0,,1,['3'],0,
