,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""",x,x,x,x,Yes,1597060821694:daaebc60-848c-440b-ac0a-256cd6cc8e8d,1597060821694:d3bc8730-e255-48f7-b858-b2f7cbff8e66,7,"['2', '10', '18', '24', '27', '34', '38']",0,,7,"['2', '10', '18', '24', '27', '34', '38']"
1,2,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597060821694:daaebc60-848c-440b-ac0a-256cd6cc8e8d,1597060821694:d3bc8730-e255-48f7-b858-b2f7cbff8e66,10,"['0', '2', '9', '10', '11', '16', '18', '24', '27', '34']",0,,10,"['0', '2', '9', '10', '11', '16', '18', '24', '27', '34']"
2,7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""",x,x,x,x,No,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,0,,12,"['1', '2', '14', '15', '17', '18', '28', '29', '30', '31', '32', '34']",0,
3,8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",Yes,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,7,"['2', '10', '18', '24', '27', '34', '38']",0,,7,"['2', '10', '18', '24', '27', '34', '38']"
4,9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",No,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,3,"['0', '9', '16']",12,"['1', '2', '14', '15', '17', '18', '28', '29', '30', '31', '32', '34']",3,"['0', '9', '16']"
5,10,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,0,,12,"['1', '2', '14', '15', '17', '18', '28', '29', '30', '31', '32', '34']",0,
6,37,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597060821693:a4807674-f4ab-4f19-b546-c91fd85ff9c8,1597060821693:75cf696b-3ebe-44e4-b5a6-16ff4ab10a09,8,"['0', '7', '8', '9', '16', '35', '36', '42']",2,"['13', '38']",8,"['0', '7', '8', '9', '16', '35', '36', '42']"
7,65,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597060821693:2c7fe8f1-0f96-41f8-85a0-72ca3cbdf148,1597060821693:92853ea3-f95a-4fa3-aecd-62013539557c,0,,10,"['6', '7', '8', '9', '13', '33', '35', '37', '38', '42']",0,
8,235,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""",Yes,1597060821688:d46075a5-875d-4107-8177-b8e796b79b32,1597060821688:80e57607-127d-460c-b534-79f28022e705,0,,5,"['9', '11', '26', '42', '47']",0,
9,236,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",No,1597060821688:d46075a5-875d-4107-8177-b8e796b79b32,1597060821688:80e57607-127d-460c-b534-79f28022e705,0,,25,"['1', '2', '4', '5', '14', '15', '17', '18', '20', '21', '28', '29', '30', '31', '32', '33', '34', '39', '40', '41', '43', '44', '45', '46', '48']",0,
