,Unnamed: 0,size,isEmpty,peek_obj_type,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf,0,,2,"['6', '11']",0,
1,2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""",No,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf,0,,12,"['2', '3', '4', '5', '7', '8', '9', '10', '12', '13', '14', '15']",0,
2,4,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",No,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf,0,,1,['11'],0,
3,5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""",Yes,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf,4,"['1', '4', '8', '15']",0,,4,"['1', '4', '8', '15']"
4,6,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597052895075:91d85d6f-61da-435f-8516-639ead295039,1597052895075:740ad771-78b4-4714-a34d-c4a514d6eccf,0,,1,['0'],0,
5,33,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597052895075:11a92c6f-707d-4024-8445-d8ed8a6fbd1c,1597052895075:35a21461-0c46-4cff-9f86-ad01ac8ddfa1,0,,0,,0,
6,43,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:98399871-d333-4dc3-882b-83c1793aaada,0,,1,['11'],0,
7,47,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:98399871-d333-4dc3-882b-83c1793aaada,0,,1,['11'],0,
8,52,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:8f62f39e-3cc3-45f1-9f5f-255ae2359e85,0,,1,['11'],0,
9,60,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",No,1597052895074:eeb21dfb-4f07-422a-a480-0ce8177b90c8,1597052895074:0a46aaf7-2c77-40cb-a16a-7bd6b91e146f,0,,1,['11'],0,
10,72,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597052895074:df3d5053-bc67-47e3-8262-2b02fe32b327,1597052895074:f5b385fd-c5df-4aba-8463-9ba117b10261,0,,2,"['0', '6']",0,
11,86,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",No,1597052895074:df3d5053-bc67-47e3-8262-2b02fe32b327,1597052895074:544dbb9f-20c3-4f1c-b278-545a39bd20f8,0,,1,['11'],0,
12,128,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597052895073:5539cd10-0c6a-4759-9483-14d20222f01b,1597052895073:6a722675-16a5-4d6f-9d1c-69cda22b5730,0,,0,,0,
13,147,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597052895073:4064ff05-b3b6-4a45-b61e-dcfd73e8dc3e,1597052895073:b68c92d2-5100-406c-b1a6-6e2bfb95a380,0,,1,['0'],0,
14,367,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597052895068:fe9f39ca-4a3b-4de9-b04e-792788658c03,1597052895068:54ae39e8-55f3-418b-b435-e10db6574229,0,,1,['0'],0,
15,368,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597052895068:fe9f39ca-4a3b-4de9-b04e-792788658c03,1597052895068:54ae39e8-55f3-418b-b435-e10db6574229,0,,0,,0,
16,421,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597052895068:d16288a6-e232-4fdb-b87c-0c9227ad82fa,1597052895068:ed7d59fd-8e53-49a4-a662-4c5b7615540d,0,,1,['0'],0,
17,422,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597052895068:d16288a6-e232-4fdb-b87c-0c9227ad82fa,1597052895068:ed7d59fd-8e53-49a4-a662-4c5b7615540d,0,,0,,0,
18,669,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597052895063:058ce25a-1c29-4561-ad00-afc5d8db8525,1597052895063:9afac87c-f2e6-4128-a90f-48375117b26d,0,,1,['0'],0,
19,2845,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",No,1597052895023:a76114e6-993d-46cb-8a7f-7678d7d86f46,1597052895023:4fb7d993-1939-44c5-9daf-c3482ad9dfca,0,,1,['11'],0,
20,3346,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597052895015:72664a86-8ca0-4b7d-b949-6d2838f2acab,1597052895016:76c4a492-4c5e-4f80-9ac4-366f1086375e,0,,1,['0'],0,
21,3714,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597052895010:9221fc23-2612-4eba-9357-a0e191fcd2ca,1597052895011:7414cf90-206c-4102-8ef9-2722c58ebd1b,0,,0,,0,
22,4377,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597052895003:f90ea525-cf8e-42db-9833-32cd85ca43e5,1597052895003:c1f5f3d8-e268-4de9-9289-005d4b5c841e,0,,0,,0,
23,9281,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""",No,1597052894945:9c954621-cf2c-4e25-8471-6eefdc0e29a8,1597052894946:1b8ed100-c496-4c48-b2e5-f16b96f480d5,0,,1,['11'],0,
24,17400,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",No,1597052894844:ec892cdd-45dc-457d-b21d-9cc4ed34fc54,1597052894844:ffd84c0e-1bd3-42d1-9e8c-79b6c5089f55,0,,1,['11'],0,
