Unnamed: 0,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""',)",1,"('isEmpty == ""False""',)",1,1.0,0.21875,1.3502109704641352,259375000.0
1,"('isEmpty_p == ""False""', 'size == ""0""')",2,"('pushInput == ""none""',)",1,1.0,0.240625,1.748633879781421,428125000.0
2,"('isEmpty == ""False""', 'size_p == ""2""')",2,"('isEmpty_p == ""False""',)",1,1.0,0.24375,1.0921501706484642,84374999.99999997
3,"('calledMethod == ""pop""', 'isEmpty == ""False""', 'pushInput == ""none""')",3,"('isEmpty_p == ""False""',)",1,1.0,0.3125,1.0921501706484642,84374999.99999997
4,"('calledMethod == ""pop""', 'isEmpty == ""False""', 'isEmpty_p == ""False""')",3,"('pushInput == ""none""',)",1,1.0,0.3125,1.7486338797814207,428125000.0
5,"('isEmpty == ""False""', 'pushInput == ""none""')",2,"('calledMethod == ""pop""', 'isEmpty_p == ""False""')",2,1.0,0.3125,2.7118644067796613,631249999.9999999
6,"('calledMethod == ""pop""', 'isEmpty == ""False""')",2,"('isEmpty_p == ""False""', 'pushInput == ""none""')",2,1.0,0.3125,1.8079096045197742,446875000.0
7,"('calledMethod == ""push""', 'calledMethod_p == ""push""')",2,"('isEmpty_p == ""False""',)",1,1.0,0.265625,1.0921501706484642,84374999.99999997
8,"('isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""')",2,"('isEmpty == ""True""',)",1,1.0,0.240625,3.855421686746989,740624999.9999999
9,"('isEmpty == ""True""', 'isEmpty_p == ""False""')",2,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.240625,3.855421686746989,740624999.9999999
10,"('isEmpty_p == ""False""', 'peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""')",2,"('isEmpty == ""False""',)",1,1.0,0.209375,1.3502109704641352,259375000.0
11,"('size == ""2""',)",1,"('isEmpty == ""False""', 'isEmpty_p == ""False""')",2,1.0,0.240625,1.4814814814814816,324999999.99999994
12,"('isEmpty_p == ""False""', 'size == ""2""')",2,"('isEmpty == ""False""',)",1,1.0,0.240625,1.3502109704641352,259375000.0
13,"('isEmpty == ""False""', 'size == ""2""')",2,"('isEmpty_p == ""False""',)",1,1.0,0.240625,1.0921501706484642,84374999.99999997
14,"('size_p == ""2""',)",1,"('isEmpty_p == ""False""',)",1,1.0,0.296875,1.0921501706484642,84374999.99999997
15,"('calledMethod_p == ""push""', 'size_p == ""2""')",2,"('isEmpty_p == ""False""',)",1,1.0,0.203125,1.0921501706484642,84374999.99999997
16,"('size == ""0""',)",1,"('isEmpty == ""True""',)",1,1.0,0.259375,3.855421686746989,740624999.9999999
17,"('isEmpty == ""True""',)",1,"('size == ""0""',)",1,1.0,0.259375,3.855421686746989,740624999.9999999
18,"('isEmpty == ""True""', 'isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""')",3,"('pushInput == ""none""', 'size == ""0""')",2,1.0,0.240625,3.855421686746989,740624999.9999999
19,"('isEmpty_p == ""False""', 'size == ""0""')",2,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""', 'pushInput == ""none""')",3,1.0,0.240625,3.855421686746989,740624999.9999999
20,"('isEmpty_p == ""False""', 'peek_obj_type == ""EmptyObject""')",2,"('isEmpty == ""True""', 'pushInput == ""none""', 'size == ""0""')",3,1.0,0.240625,3.855421686746989,740624999.9999999
21,"('isEmpty == ""True""', 'isEmpty_p == ""False""')",2,"('peek_obj_type == ""EmptyObject""', 'pushInput == ""none""', 'size == ""0""')",3,1.0,0.240625,3.855421686746989,740624999.9999999
22,"('calledMethod == ""pop""', 'calledMethod_p == ""push""', 'pushInput == ""none""')",3,"('isEmpty_p == ""False""',)",1,1.0,0.275,1.0921501706484644,84374999.99999997
23,"('calledMethod == ""pop""', 'calledMethod_p == ""push""', 'isEmpty_p == ""False""')",3,"('pushInput == ""none""',)",1,1.0,0.275,1.748633879781421,428125000.0
