,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
1,1597060821694:daaebc60-848c-440b-ac0a-256cd6cc8e8d,1597060821694:d3bc8730-e255-48f7-b858-b2f7cbff8e66,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
2,1597060821694:daaebc60-848c-440b-ac0a-256cd6cc8e8d,1597060821694:d3bc8730-e255-48f7-b858-b2f7cbff8e66,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
4,1597060821694:bb18ea36-d7ad-4261-82e7-366c16568d40,1597060821694:b6af908d-ac94-4636-a31c-823514d9c2f5,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
5,1597060821694:bb18ea36-d7ad-4261-82e7-366c16568d40,1597060821694:b6af908d-ac94-4636-a31c-823514d9c2f5,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
7,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
8,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
9,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,0,True,EmptyObject,EmptyObject,clear,none,No,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
10,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
11,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:c021ef64-a909-42cb-bc10-a6677b8a2ab5,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
13,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:9688fe0f-b1ee-497a-ae88-a419b63c9d03,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
14,1597060821694:42d14958-5b8c-46be-8dbc-3cf990583bb8,1597060821694:9688fe0f-b1ee-497a-ae88-a419b63c9d03,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
16,1597060821693:ea52f5f6-4ba6-4acc-bb63-b99049d0afb1,1597060821693:8d910169-e691-4226-8211-cbd3b27b5c88,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
17,1597060821693:ea52f5f6-4ba6-4acc-bb63-b99049d0afb1,1597060821693:8d910169-e691-4226-8211-cbd3b27b5c88,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
18,1597060821693:ea52f5f6-4ba6-4acc-bb63-b99049d0afb1,1597060821693:8d910169-e691-4226-8211-cbd3b27b5c88,0,True,EmptyObject,EmptyObject,clear,none,No,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
19,1597060821693:ea52f5f6-4ba6-4acc-bb63-b99049d0afb1,1597060821693:8d910169-e691-4226-8211-cbd3b27b5c88,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
20,1597060821693:ea52f5f6-4ba6-4acc-bb63-b99049d0afb1,1597060821693:8d910169-e691-4226-8211-cbd3b27b5c88,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
22,1597060821693:ea52f5f6-4ba6-4acc-bb63-b99049d0afb1,1597060821693:770fa268-a0ac-4c14-aa5f-e8d10bd453a1,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
23,1597060821693:ea52f5f6-4ba6-4acc-bb63-b99049d0afb1,1597060821693:770fa268-a0ac-4c14-aa5f-e8d10bd453a1,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
25,1597060821693:e411b7d7-647d-4ceb-a95b-9fbc6d76dff2,1597060821693:39df5e12-0b12-4129-8f47-c719103ae9fd,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
27,1597060821693:e411b7d7-647d-4ceb-a95b-9fbc6d76dff2,1597060821693:1dbd25a4-79c0-46f0-ae0c-b6ff1d9debbd,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
28,1597060821693:e411b7d7-647d-4ceb-a95b-9fbc6d76dff2,1597060821693:1dbd25a4-79c0-46f0-ae0c-b6ff1d9debbd,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
30,1597060821693:d166fea0-3005-4b8c-bd56-848008dc153a,1597060821694:c207f372-74f7-4287-b1c5-30d12c5b8bf0,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
31,1597060821693:d166fea0-3005-4b8c-bd56-848008dc153a,1597060821694:c207f372-74f7-4287-b1c5-30d12c5b8bf0,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
33,1597060821693:a4807674-f4ab-4f19-b546-c91fd85ff9c8,1597060821693:83283b89-1516-40d2-a10c-4a3dec511606,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
34,1597060821693:a4807674-f4ab-4f19-b546-c91fd85ff9c8,1597060821693:83283b89-1516-40d2-a10c-4a3dec511606,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
36,1597060821693:a4807674-f4ab-4f19-b546-c91fd85ff9c8,1597060821693:75cf696b-3ebe-44e4-b5a6-16ff4ab10a09,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
37,1597060821693:a4807674-f4ab-4f19-b546-c91fd85ff9c8,1597060821693:75cf696b-3ebe-44e4-b5a6-16ff4ab10a09,3,False,0.0,class java.lang.Float,push,class java.lang.Float,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
39,1597060821693:9ddb3f6c-fbb2-466d-a459-b0b91cf32cab,1597060821693:bcfd63be-b1ab-4b1f-831d-c033078f194e,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
40,1597060821693:9ddb3f6c-fbb2-466d-a459-b0b91cf32cab,1597060821693:bcfd63be-b1ab-4b1f-831d-c033078f194e,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
42,1597060821693:8806c252-e0de-4529-a0fd-3a4e20d8b042,1597060821693:7751966d-7179-40d7-996a-d388db9adb70,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
43,1597060821693:8806c252-e0de-4529-a0fd-3a4e20d8b042,1597060821693:7751966d-7179-40d7-996a-d388db9adb70,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
44,1597060821693:8806c252-e0de-4529-a0fd-3a4e20d8b042,1597060821693:7751966d-7179-40d7-996a-d388db9adb70,0,True,EmptyObject,EmptyObject,clear,none,No,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
45,1597060821693:8806c252-e0de-4529-a0fd-3a4e20d8b042,1597060821693:7751966d-7179-40d7-996a-d388db9adb70,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
46,1597060821693:8806c252-e0de-4529-a0fd-3a4e20d8b042,1597060821693:7751966d-7179-40d7-996a-d388db9adb70,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
