,Unnamed: 0,size,isEmpty,peek_obj_type,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1597047440148:f9994077-3ad2-452f-9a29-7a5f51a994a2,1597047440148:04d9a8f6-7033-4fb7-9c92-6e4b5e717f3f,0,,2,"['4', '9']",0,
1,2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""",No,1597047440148:f9994077-3ad2-452f-9a29-7a5f51a994a2,1597047440148:04d9a8f6-7033-4fb7-9c92-6e4b5e717f3f,0,,12,"['0', '1', '2', '3', '5', '6', '7', '8', '10', '11', '12', '13']",0,
2,4,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",No,1597047440148:f9994077-3ad2-452f-9a29-7a5f51a994a2,1597047440148:04d9a8f6-7033-4fb7-9c92-6e4b5e717f3f,0,,1,['9'],0,
3,5,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""",Yes,1597047440148:f9994077-3ad2-452f-9a29-7a5f51a994a2,1597047440148:04d9a8f6-7033-4fb7-9c92-6e4b5e717f3f,3,"['2', '6', '13']",0,,3,"['2', '6', '13']"
4,9,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1597047440148:7a9ee27d-27ac-4836-9eb7-aa395a1876ca,1597047440148:9a6e0fe2-e516-4ea8-996c-8de7ffd4b69c,0,,1,['9'],0,
5,13,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1597047440148:7a9ee27d-27ac-4836-9eb7-aa395a1876ca,1597047440148:9a6e0fe2-e516-4ea8-996c-8de7ffd4b69c,0,,1,['9'],0,
6,28,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",No,1597047440148:7a9ee27d-27ac-4836-9eb7-aa395a1876ca,1597047440148:0d4362c1-19aa-43e6-b009-fcd863501a7a,0,,1,['9'],0,
7,33,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",No,1597047440148:7a9ee27d-27ac-4836-9eb7-aa395a1876ca,1597047440148:0a18ceb7-4f00-4d39-aa28-f4ac479abd4d,0,,1,['9'],0,
8,56,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1597047440148:1bf00a5c-31ff-4d44-8e64-dec0736b8376,1597047440148:283cd187-cef4-490d-9cac-10b960138674,0,,0,,0,
9,57,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1597047440148:1bf00a5c-31ff-4d44-8e64-dec0736b8376,1597047440148:283cd187-cef4-490d-9cac-10b960138674,0,,1,['4'],0,
