,Unnamed: 0,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,pushInput_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""",x,x,x,x,x,Yes,1597050830315:d9d7c290-d201-4637-a0ea-df378184cd1c,1597050830315:66f252e1-578a-4ee9-95e0-447339483317,8,"['169', '213', '428', '615', '680', '993', '1009', '1309']",0,,8,"['169', '213', '428', '615', '680', '993', '1009', '1309']"
1,2,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.String""",Yes,1597050830315:d9d7c290-d201-4637-a0ea-df378184cd1c,1597050830315:66f252e1-578a-4ee9-95e0-447339483317,42,"['4', '71', '154', '166', '169', '193', '196', '211', '213', '383', '428', '492', '612', '615', '653', '663', '696', '825', '838', '869', '871', '873', '917', '958', '993', '1011', '1014', '1032', '1067', '1107', '1155', '1157', '1191', '1196', '1219', '1258', '1284', '1290', '1295', '1297', '1309', '1341']",4,"['376', '680', '928', '1097']",42,"['4', '71', '154', '166', '169', '193', '196', '211', '213', '383', '428', '492', '612', '615', '653', '663', '696', '825', '838', '869', '871', '873', '917', '958', '993', '1011', '1014', '1032', '1067', '1107', '1155', '1157', '1191', '1196', '1219', '1258', '1284', '1290', '1295', '1297', '1309', '1341']"
2,8,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.String""",Yes,1597050830315:a7ec5d7b-ffd8-4acb-a8ad-a6e0dac16ffa,1597050830315:ec49afab-ebbb-4b1a-b982-5b53c5a56259,84,"['10', '34', '36', '71', '73', '83', '97', '124', '134', '136', '178', '185', '189', '191', '193', '196', '205', '206', '207', '219', '230', '231', '234', '246', '259', '308', '407', '422', '450', '476', '479', '488', '492', '493', '512', '524', '536', '539', '541', '542', '555', '597', '643', '647', '661', '663', '665', '666', '674', '696', '712', '715', '717', '747', '763', '791', '801', '857', '917', '966', '1001', '1072', '1078', '1081', '1083', '1115', '1116', '1119', '1137', '1143', '1145', '1147', '1188', '1201', '1203', '1219', '1239', '1310', '1320', '1322', '1324', '1397', '1409', '1442']",27,"['42', '43', '44', '221', '222', '223', '224', '445', '568', '569', '598', '599', '600', '601', '745', '840', '841', '842', '843', '844', '845', '846', '847', '848', '849', '964', '1009']",84,"['10', '34', '36', '71', '73', '83', '97', '124', '134', '136', '178', '185', '189', '191', '193', '196', '205', '206', '207', '219', '230', '231', '234', '246', '259', '308', '407', '422', '450', '476', '479', '488', '492', '493', '512', '524', '536', '539', '541', '542', '555', '597', '643', '647', '661', '663', '665', '666', '674', '696', '712', '715', '717', '747', '763', '791', '801', '857', '917', '966', '1001', '1072', '1078', '1081', '1083', '1115', '1116', '1119', '1137', '1143', '1145', '1147', '1188', '1201', '1203', '1219', '1239', '1310', '1320', '1322', '1324', '1397', '1409', '1442']"
3,19,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""",x,x,x,x,x,No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,0,,108,"['17', '18', '19', '110', '111', '112', '113', '114', '115', '116', '148', '165', '166', '167', '168', '169', '209', '210', '211', '212', '213', '328', '329', '347', '367', '368', '369', '372', '373', '374', '375', '378', '408', '409', '410', '411', '412', '413', '427', '428', '429', '430', '431', '527', '528', '529', '530', '613', '614', '615', '632', '633', '634', '635', '636', '637', '638', '649', '650', '651', '652', '653', '654', '655', '656', '657', '658', '677', '678', '679', '680', '697', '700', '701', '749', '750', '751', '752', '753', '754', '755', '764', '765', '766', '826', '906', '907', '908', '909', '910', '988', '989', '990', '991', '992', '993', '1007', '1271', '1274', '1275', '1276', '1277', '1278', '1279', '1280', '1308', '1309', '1345']",0,
4,20,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",Yes,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,180,"['6', '7', '22', '23', '27', '29', '31', '38', '40', '41', '50', '59', '61', '63', '73', '92', '96', '97', '104', '108', '109', '123', '124', '131', '132', '137', '160', '169', '172', '178', '179', '183', '190', '191', '204', '207', '213', '231', '237', '238', '240', '241', '245', '308', '320', '321', '337', '342', '343', '362', '371', '393', '428', '468', '471', '472', '475', '476', '478', '486', '487', '488', '498', '506', '507', '511', '512', '516', '518', '520', '523', '524', '534', '536', '538', '542', '560', '561', '565', '569', '571', '575', '577', '588', '615', '621', '623', '625', '648', '680', '687', '694', '699', '702', '703', '708', '709', '713', '718', '719', '722', '739', '759', '762', '763', '772', '774', '776', '785', '828', '831', '836', '900', '931', '934', '946', '960', '963', '979', '981', '993', '1002', '1003', '1009', '1053', '1060', '1062', '1072', '1073', '1074', '1075', '1112', '1113', '1114', '1115', '1117', '1118', '1119', '1141', '1146', '1147', '1161', '1168', '1175', '1180', '1183', '1184', '1185', '1202', '1203', '1230', '1252', '1254', '1256', '1282', '1299', '1309', '1310', '1312', '1319', '1323', '1324', '1351', '1352', '1353', '1363', '1365', '1377', '1380', '1383', '1386', '1388', '1390', '1409', '1414', '1420', '1421', '1428', '1429', '1430']",151,"['16', '53', '67', '68', '69', '70', '71', '84', '117', '118', '119', '120', '121', '128', '129', '130', '138', '139', '140', '141', '142', '143', '144', '195', '196', '214', '215', '216', '217', '218', '219', '225', '226', '227', '228', '229', '259', '260', '261', '262', '263', '298', '299', '300', '301', '302', '303', '304', '305', '306', '307', '310', '311', '312', '314', '315', '316', '317', '330', '344', '345', '346', '379', '380', '381', '451', '479', '492', '500', '501', '502', '503', '504', '505', '626', '659', '660', '661', '662', '663', '695', '696', '711', '712', '724', '725', '726', '727', '728', '729', '730', '731', '732', '733', '746', '747', '790', '791', '860', '861', '862', '903', '904', '905', '913', '914', '915', '916', '917', '918', '919', '920', '921', '922', '923', '924', '987', '1005', '1006', '1008', '1041', '1056', '1057', '1058', '1092', '1093', '1094', '1095', '1096', '1138', '1139', '1211', '1212', '1213', '1214', '1215', '1216', '1217', '1218', '1219', '1220', '1221', '1222', '1223', '1224', '1232', '1233', '1235', '1236', '1241', '1325']",180,"['6', '7', '22', '23', '27', '29', '31', '38', '40', '41', '50', '59', '61', '63', '73', '92', '96', '97', '104', '108', '109', '123', '124', '131', '132', '137', '160', '169', '172', '178', '179', '183', '190', '191', '204', '207', '213', '231', '237', '238', '240', '241', '245', '308', '320', '321', '337', '342', '343', '362', '371', '393', '428', '468', '471', '472', '475', '476', '478', '486', '487', '488', '498', '506', '507', '511', '512', '516', '518', '520', '523', '524', '534', '536', '538', '542', '560', '561', '565', '569', '571', '575', '577', '588', '615', '621', '623', '625', '648', '680', '687', '694', '699', '702', '703', '708', '709', '713', '718', '719', '722', '739', '759', '762', '763', '772', '774', '776', '785', '828', '831', '836', '900', '931', '934', '946', '960', '963', '979', '981', '993', '1002', '1003', '1009', '1053', '1060', '1062', '1072', '1073', '1074', '1075', '1112', '1113', '1114', '1115', '1117', '1118', '1119', '1141', '1146', '1147', '1161', '1168', '1175', '1180', '1183', '1184', '1185', '1202', '1203', '1230', '1252', '1254', '1256', '1282', '1299', '1309', '1310', '1312', '1319', '1323', '1324', '1351', '1352', '1353', '1363', '1365', '1377', '1380', '1383', '1386', '1388', '1390', '1409', '1414', '1420', '1421', '1428', '1429', '1430']"
5,21,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.String""",No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,66,"['1', '3', '4', '54', '56', '71', '193', '196', '323', '327', '432', '436', '437', '438', '441', '443', '469', '492', '526', '604', '612', '663', '696', '748', '825', '837', '838', '854', '863', '866', '867', '869', '871', '889', '890', '894', '895', '896', '917', '1031', '1032', '1034', '1104', '1106', '1107', '1120', '1122', '1190', '1191', '1192', '1194', '1195', '1196', '1219', '1283', '1284', '1288', '1290', '1291', '1336', '1337', '1339', '1340', '1341', '1343', '1438']",151,"['17', '18', '19', '110', '111', '112', '113', '114', '115', '116', '148', '165', '166', '167', '168', '169', '209', '210', '211', '212', '213', '220', '328', '329', '347', '367', '368', '369', '372', '373', '374', '375', '378', '382', '383', '401', '402', '408', '409', '410', '411', '412', '413', '427', '428', '429', '430', '431', '527', '528', '529', '530', '613', '614', '615', '632', '633', '634', '635', '636', '637', '638', '649', '650', '651', '652', '653', '654', '655', '656', '657', '658', '677', '678', '679', '680', '681', '697', '700', '701', '749', '750', '751', '752', '753', '754', '755', '764', '765', '766', '821', '822', '823', '824', '826', '872', '873', '906', '907', '908', '909', '910', '953', '954', '955', '956', '957', '958', '988', '989', '990', '991', '992', '993', '1007', '1010', '1011', '1012', '1013', '1014', '1036', '1037', '1038', '1039', '1040', '1063', '1064', '1065', '1066', '1067', '1068', '1071', '1097', '1257', '1258', '1271', '1274', '1275', '1276', '1277', '1278', '1279', '1280', '1293', '1294', '1295', '1296', '1297', '1308', '1309', '1345']",66,"['1', '3', '4', '54', '56', '71', '193', '196', '323', '327', '432', '436', '437', '438', '441', '443', '469', '492', '526', '604', '612', '663', '696', '748', '825', '837', '838', '854', '863', '866', '867', '869', '871', '889', '890', '894', '895', '896', '917', '1031', '1032', '1034', '1104', '1106', '1107', '1120', '1122', '1190', '1191', '1192', '1194', '1195', '1196', '1219', '1283', '1284', '1288', '1290', '1291', '1336', '1337', '1339', '1340', '1341', '1343', '1438']"
6,22,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1597050830315:30a25f51-6805-4527-80ac-b852a4a5a4f3,1597050830315:88191795-78d0-4fee-816d-6b3c92a43926,0,,216,"['16', '17', '18', '19', '53', '67', '68', '69', '70', '71', '84', '110', '111', '112', '113', '114', '115', '116', '128', '129', '130', '138', '139', '140', '141', '142', '143', '144', '148', '165', '166', '167', '168', '169', '195', '196', '209', '210', '211', '212', '213', '225', '226', '227', '228', '229', '310', '311', '312', '314', '315', '316', '317', '328', '329', '330', '344', '345', '346', '347', '367', '368', '369', '372', '373', '374', '375', '378', '379', '380', '381', '408', '409', '410', '411', '412', '413', '427', '428', '429', '430', '431', '451', '492', '500', '501', '502', '503', '504', '505', '527', '528', '529', '530', '613', '614', '615', '632', '633', '634', '635', '636', '637', '638', '649', '650', '651', '652', '653', '654', '655', '656', '657', '658', '662', '663', '677', '678', '679', '680', '695', '696', '697', '700', '701', '711', '724', '725', '726', '727', '728', '729', '730', '731', '732', '733', '749', '750', '751', '752', '753', '754', '755', '764', '765', '766', '826', '860', '861', '862', '903', '904', '905', '906', '907', '908', '909', '910', '913', '914', '915', '916', '917', '918', '919', '920', '921', '922', '923', '924', '987', '988', '989', '990', '991', '992', '993', '1005', '1006', '1007', '1008', '1041', '1056', '1057', '1058', '1092', '1093', '1094', '1095', '1096', '1138', '1139', '1215', '1216', '1217', '1218', '1219', '1220', '1221', '1222', '1223', '1224', '1235', '1236', '1271', '1274', '1275', '1276', '1277', '1278', '1279', '1280', '1308', '1309', '1325', '1345']",0,
7,30,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Double""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",Yes,1597050830314:f1612ca6-7fa4-4ad7-950f-4c7dddc7484f,1597050830314:ef2d32af-432a-4096-ab74-1fff11aaffbc,3,"['223', '843', '847']",5,"['193', '445', '555', '601', '1009']",3,"['223', '843', '847']"
8,284,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",Yes,1597050830307:18ec4504-96a4-46bf-b713-dc92279c7651,1597050830307:facb19e9-ca66-46b2-bb35-23e9b0f11fdc,0,,11,"['154', '193', '313', '376', '555', '601', '612', '928', '1155', '1156', '1157']",0,
9,285,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1597050830307:18ec4504-96a4-46bf-b713-dc92279c7651,1597050830307:facb19e9-ca66-46b2-bb35-23e9b0f11fdc,0,,151,"['17', '18', '19', '110', '111', '112', '113', '114', '115', '116', '148', '165', '166', '167', '168', '169', '209', '210', '211', '212', '213', '256', '257', '258', '281', '289', '290', '328', '329', '331', '332', '333', '334', '335', '347', '367', '368', '369', '372', '373', '374', '375', '378', '408', '409', '410', '411', '412', '413', '427', '428', '429', '430', '431', '527', '528', '529', '530', '613', '614', '615', '632', '633', '634', '635', '636', '637', '638', '649', '650', '651', '652', '653', '654', '655', '656', '657', '658', '677', '678', '679', '680', '697', '700', '701', '749', '750', '751', '752', '753', '754', '755', '764', '765', '766', '792', '793', '794', '795', '796', '808', '809', '810', '811', '812', '813', '826', '850', '906', '907', '908', '909', '910', '911', '912', '967', '968', '969', '970', '971', '972', '973', '974', '975', '976', '988', '989', '990', '991', '992', '993', '1007', '1015', '1016', '1017', '1018', '1019', '1158', '1159', '1271', '1274', '1275', '1276', '1277', '1278', '1279', '1280', '1308', '1309', '1345', '1437']",0,
