testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1597061827482:8166267f-fbb8-40bd-a524-b120cf22785d,1597061827803:8fc0eda7-4ebf-47f2-b7d8-74b40dba2b04,0,true,EmptyObject,EmptyObject,CTOR,none
1597061827482:8166267f-fbb8-40bd-a524-b120cf22785d,1597061827803:8fc0eda7-4ebf-47f2-b7d8-74b40dba2b04,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597061827482:8166267f-fbb8-40bd-a524-b120cf22785d,1597061827803:8fc0eda7-4ebf-47f2-b7d8-74b40dba2b04,2,true,EmptyObject,class java.lang.String,pop,none
1597061827806:842fa353-2389-490a-9cba-5d86009b9cb2,1597061827806:a77846aa-44ea-428b-bf1d-66c23d14bfb4,0,true,EmptyObject,EmptyObject,CTOR,none
1597061827806:842fa353-2389-490a-9cba-5d86009b9cb2,1597061827806:a77846aa-44ea-428b-bf1d-66c23d14bfb4,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597061827806:842fa353-2389-490a-9cba-5d86009b9cb2,1597061827806:a77846aa-44ea-428b-bf1d-66c23d14bfb4,2,true,EmptyObject,class java.lang.String,pop,none
1597061827807:5b05cddc-a363-407b-9d70-c0e18383860e,1597061827807:98c4d76c-17af-4517-98ed-597aa0cbda2c,0,true,EmptyObject,EmptyObject,CTOR,none
1597061827807:5b05cddc-a363-407b-9d70-c0e18383860e,1597061827807:98c4d76c-17af-4517-98ed-597aa0cbda2c,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597061827807:5b05cddc-a363-407b-9d70-c0e18383860e,1597061827807:98c4d76c-17af-4517-98ed-597aa0cbda2c,2,true,EmptyObject,class java.lang.String,pop,none
1597061827808:968924f4-07c6-4b54-b9a5-c4ac12a03688,1597061827808:f12e7678-aaa8-4d94-a6b8-43b270f90ccb,0,true,EmptyObject,EmptyObject,CTOR,none
1597061827808:968924f4-07c6-4b54-b9a5-c4ac12a03688,1597061827808:f12e7678-aaa8-4d94-a6b8-43b270f90ccb,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597061827808:968924f4-07c6-4b54-b9a5-c4ac12a03688,1597061827808:f12e7678-aaa8-4d94-a6b8-43b270f90ccb,2,true,EmptyObject,class java.lang.String,pop,none
1597061827808:79a66f80-fdbc-4f3a-8932-ceeb73bb7913,1597061827808:4f1acd0e-6089-45dc-a929-ada96463075e,0,true,EmptyObject,EmptyObject,CTOR,none
1597061827808:79a66f80-fdbc-4f3a-8932-ceeb73bb7913,1597061827808:4f1acd0e-6089-45dc-a929-ada96463075e,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597061827808:79a66f80-fdbc-4f3a-8932-ceeb73bb7913,1597061827808:4f1acd0e-6089-45dc-a929-ada96463075e,2,true,EmptyObject,class java.lang.String,pop,none
1597061827808:f0240da4-7344-4b6b-9be0-0feaad2ae013,1597061827808:3dc20757-62a7-4468-a97a-b0ce0adbc894,0,true,EmptyObject,EmptyObject,CTOR,none
1597061827808:f0240da4-7344-4b6b-9be0-0feaad2ae013,1597061827808:3dc20757-62a7-4468-a97a-b0ce0adbc894,0,true,EmptyObject,EmptyObject,clear,none
1597061827808:f0240da4-7344-4b6b-9be0-0feaad2ae013,1597061827808:3dc20757-62a7-4468-a97a-b0ce0adbc894,0,true,EmptyObject,EmptyObject,pop,none
1597061827809:2a9550cf-c6dd-47b4-abec-51d314850d45,1597061827809:cce3abd9-e36d-4f5e-a436-8dc750c3de2d,0,true,EmptyObject,EmptyObject,CTOR,none
1597061827809:2a9550cf-c6dd-47b4-abec-51d314850d45,1597061827809:cce3abd9-e36d-4f5e-a436-8dc750c3de2d,0,true,EmptyObject,EmptyObject,clear,none
