testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1597050829534:af33941a-04cc-4ad4-9ae5-9f11a51fcbd1,1597050829869:73046cc9-588f-4b67-932d-330d175cf3e0,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829534:af33941a-04cc-4ad4-9ae5-9f11a51fcbd1,1597050829869:73046cc9-588f-4b67-932d-330d175cf3e0,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829534:af33941a-04cc-4ad4-9ae5-9f11a51fcbd1,1597050829869:73046cc9-588f-4b67-932d-330d175cf3e0,2,true,EmptyObject,class java.lang.String,pop,none
1597050829872:28ea42d5-faac-4cb2-8e7e-feee9dc6951a,1597050829872:bda9a0cc-0822-4096-8baf-653f55b9b854,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829872:28ea42d5-faac-4cb2-8e7e-feee9dc6951a,1597050829872:bda9a0cc-0822-4096-8baf-653f55b9b854,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829872:28ea42d5-faac-4cb2-8e7e-feee9dc6951a,1597050829872:bda9a0cc-0822-4096-8baf-653f55b9b854,2,true,EmptyObject,class java.lang.String,pop,none
1597050829873:07957cd4-d4ac-4091-a6cd-d5d44d555a7d,1597050829873:42442eec-cfc8-4e2f-982b-f160cf243e33,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829873:07957cd4-d4ac-4091-a6cd-d5d44d555a7d,1597050829873:42442eec-cfc8-4e2f-982b-f160cf243e33,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829873:07957cd4-d4ac-4091-a6cd-d5d44d555a7d,1597050829873:42442eec-cfc8-4e2f-982b-f160cf243e33,2,true,EmptyObject,class java.lang.String,pop,none
1597050829873:c2bc9f1e-4c1b-4378-bbc5-95ab0e922956,1597050829873:e2d33e86-0d9f-42ef-af1f-5ae06bc4a94a,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829873:c2bc9f1e-4c1b-4378-bbc5-95ab0e922956,1597050829873:e2d33e86-0d9f-42ef-af1f-5ae06bc4a94a,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829873:c2bc9f1e-4c1b-4378-bbc5-95ab0e922956,1597050829873:e2d33e86-0d9f-42ef-af1f-5ae06bc4a94a,2,true,EmptyObject,class java.lang.String,pop,none
1597050829874:aa355f65-9fd4-4fe9-a72e-dd6860648772,1597050829874:ca3b5055-45d3-4a3b-b90d-bab1388cd0ee,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829874:aa355f65-9fd4-4fe9-a72e-dd6860648772,1597050829874:ca3b5055-45d3-4a3b-b90d-bab1388cd0ee,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829874:aa355f65-9fd4-4fe9-a72e-dd6860648772,1597050829874:ca3b5055-45d3-4a3b-b90d-bab1388cd0ee,2,true,EmptyObject,class java.lang.String,pop,none
1597050829874:52321a8a-5f3e-4efd-8cc9-48b6a4ac9b60,1597050829874:2bdc0ed7-812c-4da4-a0e5-136c1c0957df,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829874:52321a8a-5f3e-4efd-8cc9-48b6a4ac9b60,1597050829874:2bdc0ed7-812c-4da4-a0e5-136c1c0957df,0,true,EmptyObject,EmptyObject,clear,none
1597050829874:52321a8a-5f3e-4efd-8cc9-48b6a4ac9b60,1597050829874:2bdc0ed7-812c-4da4-a0e5-136c1c0957df,0,true,EmptyObject,EmptyObject,pop,none
1597050829874:dcd2b2bc-1f63-44d1-b375-2aab0a5273c4,1597050829874:89d67a32-3b41-411e-b129-3d61dfa27f61,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829874:dcd2b2bc-1f63-44d1-b375-2aab0a5273c4,1597050829874:89d67a32-3b41-411e-b129-3d61dfa27f61,0,true,EmptyObject,EmptyObject,clear,none
1597050829874:dcd2b2bc-1f63-44d1-b375-2aab0a5273c4,1597050829874:89d67a32-3b41-411e-b129-3d61dfa27f61,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829875:f6397b89-c63e-4ee9-9523-6715c7b9bc73,1597050829875:392af89c-af1a-41dc-9ddb-9621f081683b,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829875:f6397b89-c63e-4ee9-9523-6715c7b9bc73,1597050829875:392af89c-af1a-41dc-9ddb-9621f081683b,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829875:f6397b89-c63e-4ee9-9523-6715c7b9bc73,1597050829875:392af89c-af1a-41dc-9ddb-9621f081683b,2,true,EmptyObject,class java.lang.String,pop,none
1597050829875:1794be59-b106-41ac-9966-4f6f21445c31,1597050829875:be3b5b3f-cce1-4b82-9874-f5eac64d3d41,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829875:1794be59-b106-41ac-9966-4f6f21445c31,1597050829875:be3b5b3f-cce1-4b82-9874-f5eac64d3d41,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829875:130bd266-f6ab-47b1-9081-ab7a61ad05bd,1597050829875:df0b922e-e4a0-4e9e-81c7-4070329bada1,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829875:130bd266-f6ab-47b1-9081-ab7a61ad05bd,1597050829875:df0b922e-e4a0-4e9e-81c7-4070329bada1,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
1597050829875:130bd266-f6ab-47b1-9081-ab7a61ad05bd,1597050829875:df0b922e-e4a0-4e9e-81c7-4070329bada1,2,true,EmptyObject,class java.lang.String,pop,none
1597050829876:cdd078f4-10ea-4241-9f8c-628e33d19fac,1597050829876:afb31b49-0bde-4aed-941f-303d737d711e,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829876:cdd078f4-10ea-4241-9f8c-628e33d19fac,1597050829876:afb31b49-0bde-4aed-941f-303d737d711e,0,true,EmptyObject,EmptyObject,clear,none
1597050829876:cdd078f4-10ea-4241-9f8c-628e33d19fac,1597050829876:afb31b49-0bde-4aed-941f-303d737d711e,0,true,EmptyObject,EmptyObject,clear,none
1597050829876:cdd078f4-10ea-4241-9f8c-628e33d19fac,1597050829876:afb31b49-0bde-4aed-941f-303d737d711e,0,true,EmptyObject,EmptyObject,pop,none
1597050829876:dc0cc77f-90df-43a0-97c9-a68b88382b76,1597050829876:8e399bdc-47d1-45a9-91a0-b9fe0c4e7c06,0,true,EmptyObject,EmptyObject,CTOR,none
1597050829876:dc0cc77f-90df-43a0-97c9-a68b88382b76,1597050829876:8e399bdc-47d1-45a9-91a0-b9fe0c4e7c06,2,true,EmptyObject,class java.lang.String,push,class java.lang.String
