Unnamed: 0,DS,# of Total rows,# of rows that are NOT different from Non-mod (correct values),# of rows that are different from Non-mod (incorrect values),# of uniques rows,# of unique rows that are NOT different from Non-mod (correct values),# of unique rows that are different from Non-mod (incorrect values),# of unique rows that are NOT covered by rules,# of unique rows  that are covered by rules,# of unique rows that VIOLATE rules,% coverage,# of Rules,Total # of rules Matched (LHS and RHS),Total # of rules Violated (LHS match but NOT RHS),M-intersection-V,Total # of rules used (MUV),Total # of rules NOT used
0,FS1\fs1_original,71604,71604,0,47,47,0,31,16,0,34.04255319148936,14,14,0,0,14,0
1,fs1_Mod1_p,71604,59722,11882,45,17,28,28,17,0,37.77777777777778,14,14,0,0,14,0
2,fs1_Mod2_e,37786,31396,6390,25,24,1,11,14,1,56.00000000000001,14,14,3,3,14,0
3,fs1_Mod3_s,71604,28199,43405,47,1,46,42,5,0,10.638297872340424,14,14,0,0,14,0
4,fs1_Mod4_pes,7160,1663,5497,4,1,3,1,3,1,75.0,14,14,3,3,14,0
5,fs1_Mod5_pe,37786,29994,7792,26,12,14,13,13,1,50.0,14,14,3,3,14,0
6,fs1_Mod6_ps,71604,28199,43405,45,1,44,39,6,0,13.333333333333336,14,14,0,0,14,0
7,fs1_Mod7_es,7160,1663,5497,6,1,5,4,2,1,33.33333333333333,14,14,3,3,14,0
0,FS2\fs2_original,71604,71604,0,76,76,0,16,60,0,78.94736842105263,36,36,0,0,36,0
1,fs2_Mod1_p,71604,59722,11882,73,30,43,15,58,0,79.45205479452055,36,36,0,0,36,0
2,fs2_Mod2_e,37786,31396,6390,33,31,2,8,25,2,75.75757575757575,36,36,4,4,36,0
3,fs2_Mod3_s,71604,28199,43405,76,2,74,24,52,0,68.42105263157895,36,36,0,0,36,0
4,fs2_Mod4_pes,7160,1663,5497,7,2,5,2,5,2,71.42857142857143,36,36,4,4,36,0
5,fs2_Mod5_pe,37786,29994,7792,33,13,20,6,27,2,81.81818181818183,36,36,4,4,36,0
6,fs2_Mod6_ps,71604,28199,43405,73,2,71,23,50,0,68.49315068493149,36,36,0,0,36,0
7,fs2_Mod7_es,7160,1663,5497,9,2,7,2,7,2,77.7777777777778,36,36,4,4,36,0
0,FS3\fs3_original,71604,71604,0,320,320,0,12,308,0,96.25,439,439,0,0,439,0
1,fs3_Mod1_p,71604,59722,11882,232,135,97,6,226,0,97.41379310344827,439,439,0,0,439,0
2,fs3_Mod2_e,37786,31396,6390,108,88,20,7,101,33,93.51851851851852,439,439,73,73,439,0
3,fs3_Mod3_s,71604,28199,43405,320,83,237,20,300,19,93.75,439,439,95,95,439,0
4,fs3_Mod4_pes,7160,1663,5497,14,8,6,2,12,5,85.71428571428571,439,439,113,113,439,0
5,fs3_Mod5_pe,37786,29994,7792,106,60,46,6,100,33,94.33962264150944,439,439,73,73,439,0
6,fs3_Mod6_ps,71604,28199,43405,232,76,156,11,221,19,95.25862068965515,439,439,95,95,439,0
7,fs3_Mod7_es,7160,1663,5497,17,9,8,2,15,7,88.23529411764706,439,439,113,113,439,0
0,FS4\fs4_original,71604,71604,0,320,320,0,0,320,0,100.0,676,676,0,0,676,0
1,fs4_Mod1_p,71604,59722,11882,308,142,166,0,308,38,100.0,676,676,12,12,676,0
2,fs4_Mod2_e,37786,31396,6390,108,88,20,0,108,33,100.0,676,676,142,142,676,0
3,fs4_Mod3_s,71604,28199,43405,320,83,237,0,320,19,100.0,676,676,95,95,676,0
4,fs4_Mod4_pes,7160,1663,5497,16,8,8,1,15,8,93.75,676,676,170,170,676,0
5,fs4_Mod5_pe,37786,29994,7792,119,60,59,0,119,45,100.0,676,676,154,154,676,0
6,fs4_Mod6_ps,71604,28199,43405,308,76,232,0,308,57,100.0,676,676,107,107,676,0
7,fs4_Mod7_es,7160,1663,5497,17,9,8,1,16,7,94.11764705882351,676,676,167,167,676,0
0,FS5\fs5_original,71604,71604,0,320,320,0,0,320,0,100.0,1450,1450,0,0,1450,0
1,fs5_Mod1_p,71604,59722,11882,398,209,189,0,398,38,100.0,1450,1450,12,12,1450,0
2,fs5_Mod2_e,37786,31396,6390,108,88,20,0,108,33,100.0,1450,1450,224,224,1450,0
3,fs5_Mod3_s,71604,28199,43405,320,83,237,0,320,19,100.0,1450,1450,285,285,1450,0
4,fs5_Mod5_pe,7160,1663,5497,133,67,66,0,133,51,100.0,1450,1450,236,236,1450,0
5,fs5_Mod6_ps,37786,29994,7792,398,119,279,0,398,57,100.0,1450,1450,297,297,1450,0
6,fs5_Mod7_es,71604,28199,43405,17,9,8,1,16,7,94.11764705882351,1450,1450,314,314,1450,0
