Unnamed: 0,DS,# of Total rows,# of rows that are NOT different from Non-mod (correct values),# of rows that are different from Non-mod (incorrect values),# of uniques rows,# of unique rows that are NOT different from Non-mod (correct values),# of unique rows that are different from Non-mod (incorrect values),# of unique rows that are NOT covered by rules,# of unique rows  that are covered by rules,# of unique rows that VIOLATE rules,% coverage,# of Rules,Total # of rules Matched (LHS and RHS),Total # of rules Violated (LHS match but NOT RHS),M-intersection-V,Total # of rules used (MUV),Total # of rules NOT used
0,FS1\fs1_original,71604,71604,0,47,47,0,14,33,0,70.21276595744679,3,3,0,0,3,0
1,fs1_Mod1_p,71604,59722,11882,45,17,28,15,30,0,66.66666666666666,3,3,0,0,3,0
2,fs1_Mod2_e,37786,31396,6390,25,24,1,6,19,1,76.0,3,3,1,1,3,0
3,fs1_Mod3_s,71604,28199,43405,47,1,46,25,22,0,46.80851063829788,3,3,0,0,3,0
4,fs1_Mod4_pes,7160,1663,5497,4,1,3,3,1,1,25.0,3,3,1,1,3,0
5,fs1_Mod5_pe,37786,29994,7792,26,12,14,8,18,1,69.23076923076923,3,3,1,1,3,0
6,fs1_Mod6_ps,71604,28199,43405,45,1,44,24,21,0,46.66666666666666,3,3,0,0,3,0
7,fs1_Mod7_es,7160,1663,5497,6,1,5,3,3,1,50.0,3,3,1,1,3,0
0,FS2\fs2_original,71604,71604,0,76,76,0,7,69,0,90.7894736842105,4,4,0,0,4,0
1,fs2_Mod1_p,71604,59722,11882,73,30,43,7,66,0,90.41095890410958,4,4,0,0,4,0
2,fs2_Mod2_e,37786,31396,6390,33,31,2,5,28,2,84.84848484848484,4,4,2,2,4,0
3,fs2_Mod3_s,71604,28199,43405,76,2,74,13,63,0,82.89473684210526,4,4,0,0,4,0
4,fs2_Mod4_pes,7160,1663,5497,7,2,5,4,3,2,42.857142857142854,4,4,2,2,4,0
5,fs2_Mod5_pe,37786,29994,7792,33,13,20,5,28,2,84.84848484848484,4,4,2,2,4,0
6,fs2_Mod6_ps,71604,28199,43405,73,2,71,13,60,0,82.1917808219178,4,4,0,0,4,0
7,fs2_Mod7_es,7160,1663,5497,9,2,7,4,5,2,55.555555555555564,4,4,2,2,4,0
0,FS3\fs3_originalruleValidator.csv,71604,71604,0,320,320,0,0,320,0,100.0,49,49,0,0,49,0
1,fs3_Mod1,71604,59722,11882,232,135,97,0,232,0,100.0,49,49,0,0,49,0
2,fs3_Mod2,37786,31396,6390,108,88,20,2,106,33,98.14814814814815,49,49,23,23,49,0
3,fs3_Mod3,71604,28199,43405,320,83,237,0,320,21,100.0,49,49,3,3,49,0
4,fs3_Mod4,7160,1663,5497,14,8,6,3,11,5,78.57142857142857,49,49,16,16,49,0
5,fs3_Mod5,37786,29994,7792,106,60,46,2,104,33,98.1132075471698,49,49,23,23,49,0
6,fs3_Mod6,71604,28199,43405,232,76,156,0,232,21,100.0,49,49,3,3,49,0
7,fs3_Mod7,7160,1663,5497,17,9,8,3,14,7,82.35294117647058,49,49,16,16,49,0
0,FS4\fs4_originalruleValidator.csv,71604,71604,0,320,320,0,0,320,0,100.0,134,134,0,0,134,0
1,fs4_Mod1,71604,59722,11882,308,142,166,0,308,0,100.0,134,134,0,0,134,0
2,fs4_Mod2,37786,31396,6390,108,88,20,0,108,33,100.0,134,134,40,40,134,0
3,fs4_Mod3,71604,28199,43405,320,83,237,0,320,21,100.0,134,134,3,3,134,0
4,fs4_Mod4,7160,1663,5497,16,8,8,2,14,7,87.5,134,134,26,26,134,0
5,fs4_Mod5,37786,29994,7792,119,60,59,0,119,44,100.0,134,134,40,40,134,0
6,fs4_Mod6,71604,28199,43405,308,76,232,0,308,21,100.0,134,134,3,3,134,0
7,fs4_Mod7,7160,1663,5497,17,9,8,2,15,7,88.23529411764706,134,134,26,26,134,0
0,FS5\fs5_original,71604,71604,0,320,320,0,0,320,0,100.0,137,137,0,0,137,0
1,fs5_Mod1_p,71604,59722,11882,398,209,189,0,398,0,100.0,137,137,0,0,137,0
2,fs5_Mod2_e,37786,31396,6390,108,88,20,0,108,33,100.0,137,137,40,40,137,0
3,fs5_Mod3_s,71604,28199,43405,320,83,237,0,320,21,100.0,137,137,3,3,137,0
4,fs5_Mod4_pes,7160,1663,5497,17,9,8,2,15,7,88.23529411764706,137,137,26,26,137,0
5,fs5_Mod5_pe,37786,29994,7792,133,67,66,0,133,50,100.0,137,137,40,40,137,0
6,fs5_Mod6_ps,71604,28199,43405,398,119,279,0,398,21,100.0,137,137,3,3,137,0
7,fs5_Mod7_es,7160,1663,5497,17,9,8,2,15,7,88.23529411764706,137,137,26,26,137,0
