,size,isEmpty,peek_obj_type,diff,testId,instanceId
1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:f339ef2e-603f-41a1-900f-b3af61eecbb8
2,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:f339ef2e-603f-41a1-900f-b3af61eecbb8
4,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f
7,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f
8,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f
10,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:e0d15537-95d6-43b8-ac3a-d332b0ab690f
13,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:d6d28cbf-262f-47cc-b197-8d693eb46661
14,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:d6d28cbf-262f-47cc-b197-8d693eb46661
26,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287
32,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058051:7bd3a970-94a1-4a5e-9a43-5709bc038687,1596542058051:0aec68d2-1bcc-4fba-8219-f30cc1dad287
58,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:25404957-355e-4b95-ac50-ea45aed25417
59,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058051:66fe66d1-ebfa-4dca-bd15-7d20773a9198,1596542058051:25404957-355e-4b95-ac50-ea45aed25417
88,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",No,1596542058050:e445d707-bebb-4286-b04c-49487caa0e15,1596542058050:c8afe3e6-5846-4e15-b50e-eb513dbacb4c
99,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",No,1596542058050:e445d707-bebb-4286-b04c-49487caa0e15,1596542058050:850d13be-06fa-4aaf-8a92-5f2d2be2ec8a
128,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058051:eec3d92e-ed23-4a90-a960-31dbc8888583
136,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058051:68639c23-830b-414c-a16a-9d92fb374c85
156,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058050:cd281d96-7483-4923-aca2-80026f026fb6
161,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058050:77f69fff-a559-4f86-9335-50a2267006fd
170,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",No,1596542058050:3b082e07-ce90-4d60-b9a9-0f59d8c09d57,1596542058050:1fe6835e-cfcb-4ce6-b1f1-2ec233b4d3f5
241,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",No,1596542058049:f2249ead-0588-4818-bcd8-044c219e2d7d,1596542058049:99ebb205-ada5-45b1-b638-e856d685d0c8
327,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70
328,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1596542058049:397442b0-05a5-4fe1-a69f-c4e15b5c1edf,1596542058049:d87cad9f-a6db-4ce5-a7a6-b95a5eb5ff70
427,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",No,1596542058048:27d47d41-38c0-4d5e-bae6-a95336e64357,1596542058048:c5830c5d-ce01-43ce-9c3c-989ffbc1a3ba
505,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:f50cc9c6-aa50-4a00-8cab-0f576143d477
516,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""",No,1596542058047:25beca70-5b75-46d7-834e-39c99274bcfc,1596542058047:c37e2e7c-9733-4e5d-827f-46e2ecdc6efb
708,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",No,1596542058046:26520d34-f9b1-480c-9209-5609c1394091,1596542058046:d336d674-d70c-4a42-ac54-55118c58f06b
764,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:d3166bee-1526-4574-a65c-cb7cfa3bf67f
809,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:2c5496a7-2e1d-4d24-8166-0dccd97033ee
816,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1e9c85bf-3d17-49b7-9a60-3944daf19af2
817,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",No,1596542058045:922b813f-308b-4d3f-a02a-bd45154b3c9f,1596542058045:1e9c85bf-3d17-49b7-9a60-3944daf19af2
940,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",No,1596542058044:716027d9-ad58-4173-a5af-c4dfd0f66b31,1596542058044:3c45a7f9-39ba-41f2-be95-b9405f8d85a0
964,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",No,1596542058043:cf21ddd1-012e-444b-a7ec-e632a086a1fe,1596542058043:949a3f6c-a1e0-4c90-8685-ba79941754ab
1354,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",No,1596542058040:8f67e3a3-949f-47b9-840e-d6f2f653ba71,1596542058040:cdefbab5-4324-4f01-ba97-53263006e740
1674,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:a235077f-015a-4032-9a56-4fd65f7c8ca5
1676,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",No,1596542058037:29c79317-3cac-4a9d-aeaa-b140ad8704e9,1596542058037:a235077f-015a-4032-9a56-4fd65f7c8ca5
4139,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",No,1596542058017:4740510f-0f4f-4a4c-aea5-679672b1e418,1596542058017:08cf7ad5-8e4c-4cd9-9d8a-fd5a7b0a3c94
4886,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058011:dbc7b2f5-c30b-448b-b962-36fae9d12ac1,1596542058011:029a5f47-cf1a-4b5c-9c23-bc1ec3f81f36
5556,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",No,1596542058006:4537ba15-4f5f-4db4-879a-dfa00436a7e8,1596542058006:8156613d-f454-4aca-bf28-91f8c5553c61
8160,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",No,1596542057986:840d870f-a4c8-42cb-ad95-9e0c48922daf,1596542057986:fac50f0b-d27a-43e1-b8a5-53d38dbfd2f8
8610,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""",No,1596542057983:0ecd6247-afba-4c16-a93d-f12706445680,1596542057983:7c5ef114-9f34-4102-97df-09eceaf6f74c
11062,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",No,1596542057962:5dad5c54-7c32-4532-86bc-755705d22f5e,1596542057962:6b075d48-b48b-446d-b9b3-6aa9fd0b9766
11568,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1596542057959:79922c04-0e5d-4527-86cf-2ccdd1cb921e,1596542057959:a0334df9-5d4a-4b7e-9096-e248f789fcd8
11889,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",No,1596542057956:dbd55c29-0864-4be8-b205-30e3e0af493d,1596542057956:31be200e-b011-46a7-8587-863cba499830
17312,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",No,1596542057911:68a7a4f7-a5b9-4de1-b80d-14e4cee93b1f,1596542057911:8c0d0737-3c9d-4b33-9904-f04b84608743
29064,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",No,1596542057806:934668e7-0fcf-40ae-a422-e976cd97285b,1596542057806:202cff6b-44fc-4cca-a56c-2f0d4084a7f0
29719,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",No,1596542057801:580bbf51-b22a-4c91-8889-904e5bf12c82,1596542057801:91ff394b-4b08-43fd-bfdc-1e7b6ba8b7b1
33341,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""",No,1596542057769:8befaac6-55d0-4ba2-b5c8-0a8f07e6274e,1596542057769:6fa2f3da-733c-47f0-b0cf-90f78284d09e
