,size,isEmpty,peek_obj_type,diff,testId,instanceId
1,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:f584fe80-a58f-409b-98fb-a02eb4ddeffe
2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""",No,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:f584fe80-a58f-409b-98fb-a02eb4ddeffe
4,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:f584fe80-a58f-409b-98fb-a02eb4ddeffe
7,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:e3382bab-ed5a-476d-a17e-8d7a56ab123e
10,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:ce8cb82a-13e5-4f6d-9c3b-19e13cc8b05b
11,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:ce8cb82a-13e5-4f6d-9c3b-19e13cc8b05b
12,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:ce8cb82a-13e5-4f6d-9c3b-19e13cc8b05b
16,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:b454df68-4cd0-4d01-ab63-43e1b4723331
21,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:ab044004-c641-490e-a48e-30062441ea62
25,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a63f2477-cc35-484f-ad36-b406f79618a9
30,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a63f2477-cc35-484f-ad36-b406f79618a9
31,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a63f2477-cc35-484f-ad36-b406f79618a9
39,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a0f419ac-71a7-4a0f-89f0-ef9796dc8db2
40,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a0f419ac-71a7-4a0f-89f0-ef9796dc8db2
42,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:a0f419ac-71a7-4a0f-89f0-ef9796dc8db2
46,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",Yes,1597049292488:ea1e2111-79e4-4761-927d-f612ba9b30fe,1597049292488:6ee614ab-a692-4ff8-9349-fe8ff572982b
112,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597049292488:46f84660-d5bd-4ddd-8de4-0326519adb62,1597049292488:5a2d5543-5a10-45e9-b034-e9bc39eb103b
113,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597049292488:46f84660-d5bd-4ddd-8de4-0326519adb62,1597049292488:5a2d5543-5a10-45e9-b034-e9bc39eb103b
150,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",Yes,1597049292487:c9d9ac21-cc97-4883-b8cb-907e47abe7c1,1597049292488:a3605f1a-4dd9-4fa9-9fe2-eedf8c5b87e2
199,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597049292487:b33f2d84-cc26-4e78-88eb-d5564d2c691a,1597049292487:703eef9a-fd8a-4735-8a73-ed69a0704380
282,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""",Yes,1597049292486:cba057a6-33d4-4165-8c4a-7fbad4aa8525,1597049292486:f26202e1-dbac-4ac4-ad29-052b46010d29
283,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597049292486:cba057a6-33d4-4165-8c4a-7fbad4aa8525,1597049292486:f26202e1-dbac-4ac4-ad29-052b46010d29
400,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597049292486:4d6f8489-00ce-4a01-bce0-a259fa476b1c,1597049292486:82b558c0-32ef-44c8-9ad3-4b5d07ecccf3
567,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""",Yes,1597049292484:4b243a92-1c34-46db-8b1f-ea9595209072,1597049292485:7b541b49-8c8c-40b0-9e7d-9ed43d9d832a
609,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""",Yes,1597049292484:4b243a92-1c34-46db-8b1f-ea9595209072,1597049292484:3a949be1-5e87-49b7-bc9b-6c4acb03b097
742,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597049292482:c5c5e41f-dfaf-4d49-a78e-48190f832d68,1597049292482:1c36e319-d9fa-4d1f-9da4-d707f5930b76
768,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597049292482:9415c590-d836-463b-bb2a-e18fd0a41689,1597049292482:bdf8d9ae-0958-4320-907d-55b836c0517b
780,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597049292482:9415c590-d836-463b-bb2a-e18fd0a41689,1597049292482:7a97a0a0-1e3d-4926-8705-fd3bf10a8797
781,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597049292482:9415c590-d836-463b-bb2a-e18fd0a41689,1597049292482:7a97a0a0-1e3d-4926-8705-fd3bf10a8797
797,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597049292482:9415c590-d836-463b-bb2a-e18fd0a41689,1597049292482:5e55a88e-8df3-4f86-a128-5e7ecefc8ad1
865,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597049292481:56914a9b-a43d-46d8-ab0b-916837311440,1597049292481:8b77dc8b-d185-4828-b628-782c4e138664
1028,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",Yes,1597049292480:8551a579-3edd-4cac-b958-2116054f4136,1597049292480:c3942241-4595-42f6-af91-e140aecf9012
1168,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",Yes,1597049292478:427e9b07-a962-4b23-a20a-30630c2dd850,1597049292478:789c6659-bac4-455f-8e9e-4a9a07b26db1
1602,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""",Yes,1597049292475:3fbe4a8c-3e09-4c5f-a2fa-f2f07b269b70,1597049292475:a3dd4b57-ce73-48c4-b72d-56d69debd5d6
1604,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597049292475:3fbe4a8c-3e09-4c5f-a2fa-f2f07b269b70,1597049292475:a3dd4b57-ce73-48c4-b72d-56d69debd5d6
4166,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""",Yes,1597049292455:1a0daf5f-59ac-4874-8818-e9128be3261e,1597049292455:4758c565-e238-4a36-aef6-fad21c6f480d
4952,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""",Yes,1597049292449:4e749ebd-de5a-4cba-bea2-908df17ae0ac,1597049292449:ca904b64-24a5-414b-98bb-0f4519c2ca51
5554,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""",Yes,1597049292444:89105f12-0eeb-4bd7-b17c-5368f52dc6f4,1597049292444:d9db24e4-a4b0-44ed-b350-72ab9d394e49
8160,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597049292423:bf62cec4-bdb8-4cf1-b281-b1d57c52c628,1597049292423:dfc41ca2-62ae-4105-8298-5e4032d2b66b
8411,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""",Yes,1597049292421:b4491eb6-fcc3-40a4-bd51-449bb8b57677,1597049292421:a8e9897d-4991-4279-bfbb-7d58956dbbc5
11074,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""",Yes,1597049292399:979449b2-8634-4f91-8ad1-61ea7df11c5b,1597049292399:bf74e34a-33aa-49d6-b621-b67ae9fb0f4f
11527,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597049292396:10a59412-922d-43d9-8450-ef0be9f5f79c,1597049292396:de0eb6b7-6535-49cd-80fe-504976ecba53
11890,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""",Yes,1597049292393:734bc4f0-1115-4c7d-932c-035f397bd8fd,1597049292393:9dbdcf8a-2b42-4bc0-ba34-1b608f2ffa26
17239,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""",Yes,1597049292346:cf5d554c-b8c1-45f0-bf0f-29a3d6331a4a,1597049292346:e9f476db-9b89-4f9d-ac8b-bdda38c15689
29113,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""",Yes,1597049292241:ecc4995d-1c20-491c-9bec-5d5f55d60fe9,1597049292241:c22c7c7d-f95f-4ce7-a632-ed804d04ffa1
29735,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""",Yes,1597049292236:82e79bae-a67c-4285-91f4-190a1526b817,1597049292236:df4d64a7-e24b-415f-a7b6-7f1ee5eae59c
33387,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""",Yes,1597049292200:91a90ca8-1d07-4762-96a5-4abda288555c,1597049292200:19813ed7-6706-4a31-b6b0-43c898c41c46
